DATE,FINCPIALLAINMEI
1960-01-01,7.47909175425378
1961-01-01,7.6055637132035
1962-01-01,7.93898978679821
1963-01-01,8.33565183986778
1964-01-01,9.19221192548179
1965-01-01,9.64636123261941
1966-01-01,10.0200283840618
1967-01-01,10.5588834002548
1968-01-01,11.5294207661282
1969-01-01,11.7837138746843
1970-01-01,12.1066397253421
1971-01-01,12.890636817811
1972-01-01,13.7494737621606
1973-01-01,15.2281583101545
1974-01-01,17.8072592659578
1975-01-01,20.9789803080502
1976-01-01,23.9879314231541
1977-01-01,26.8169125655557
1978-01-01,28.9084574502619
1979-01-01,31.0670390299909
1980-01-01,34.6691441092072
1981-01-01,38.5887525533153
1982-01-01,42.2874577905476
1983-01-01,45.8253497565958
1984-01-01,49.0641290382418
1985-01-01,51.6133160960098
1986-01-01,53.1274328778912
1987-01-01,55.3125786881065
1988-01-01,58.1257388453521
1989-01-01,61.9579168026765
1990-01-01,65.7680568522323
1991-01-01,68.6028018398129
1992-01-01,70.6055393078368
1993-01-01,72.1522621142855
1994-01-01,72.9376815975034
1995-01-01,73.5147909492044
1996-01-01,73.9773446366109
1997-01-01,74.8595662390814
1998-01-01,75.9072043920153
1999-01-01,76.7894259944859
2000-01-01,79.1254344024334
2001-01-01,81.165636861212
2002-01-01,82.4409282494724
2003-01-01,83.1642967359882
2004-01-01,83.3199165744729
2005-01-01,83.8397255343646
2006-01-01,85.1532145677363
2007-01-01,87.2911275688626
2008-01-01,90.840342616484
2009-01-01,90.840342616484
2010-01-01,91.9160148674854
2011-01-01,95.0566095669036
2012-01-01,97.7261150614092
2013-01-01,99.1707886231416
2014-01-01,100.203354880414
2015-01-01,99.995
2016-01-01,100.351666666667
2017-01-01,101.108333333333
2018-01-01,102.204166666667
2019-01-01,103.250833333333
2020-01-01,103.550833333333
2021-01-01,105.823333333333
